Codigo IBGE;IDADE;SEXO;COR;homic;Nome;IDH;Populacao
330030;2;1;3;0;Barra do Piraퟻ-224,715;3371;
330030;3;0;1;0;Barra do Piraퟻ-224,715;3141;
330030;3;0;2;1;Barra do Piraퟻ-224,715;1538;
330030;3;0;3;0;Barra do Piraퟻ-224,715;3051;
330030;3;1;1;6;Barra do Piraퟻ-224,715;2913;
330030;3;1;2;16;Barra do Piraퟻ-224,715;1532;
330030;3;1;3;0;Barra do Piraퟻ-224,715;2919;
330030;4;0;1;1;Barra do Piraퟻ-224,715;3110;
330030;4;0;2;0;Barra do Piraퟻ-224,715;1400;
330030;4;0;3;0;Barra do Piraퟻ-224,715;2926;
330030;4;1;1;7;Barra do Piraퟻ-224,715;2741;
330030;4;1;2;7;Barra do Piraퟻ-224,715;1382;
330030;4;1;3;0;Barra do Piraퟻ-224,715;2610;
330030;5;0;1;1;Barra do Piraퟻ-224,715;3209;
330030;5;0;2;0;Barra do Piraퟻ-224,715;1412;
330030;5;0;3;0;Barra do Piraퟻ-224,715;2680;
330030;5;1;1;0;Barra do Piraퟻ-224,715;2827;
330030;5;1;2;2;Barra do Piraퟻ-224,715;1268;
330030;5;1;3;0;Barra do Piraퟻ-224,715;2420;
330030;6;0;1;0;Barra do Piraퟻ-224,715;2947;
330030;6;0;2;0;Barra do Piraퟻ-224,715;1168;
330030;6;0;3;0;Barra do Piraퟻ-224,715;2160;
330030;6;1;1;3;Barra do Piraퟻ-224,715;2486;
330030;6;1;2;2;Barra do Piraퟻ-224,715;1034;
330030;6;1;3;0;Barra do Piraퟻ-224,715;1943;
330030;7;0;1;0;Barra do Piraퟻ-224,715;1956;
330030;7;0;2;0;Barra do Piraퟻ-224,715;656;
330030;7;0;3;0;Barra do Piraퟻ-224,715;1278;
330030;7;1;1;1;Barra do Piraퟻ-224,715;1449;
330030;7;1;2;0;Barra do Piraퟻ-224,715;480;
330030;7;1;3;0;Barra do Piraퟻ-224,715;1087;
330030;8;0;1;0;Barra do Piraퟻ-224,715;1214;
330030;8;0;2;0;Barra do Piraퟻ-224,715;334;
330030;8;0;3;0;Barra do Piraퟻ-224,715;738;
330030;8;1;1;0;Barra do Piraퟻ-224,715;867;
330030;8;1;2;0;Barra do Piraퟻ-224,715;249;
330030;8;1;3;0;Barra do Piraퟻ-224,715;491;
330030;9;0;1;0;Barra do Piraퟻ-224,715;647;
330030;9;0;2;0;Barra do Piraퟻ-224,715;151;
330030;9;0;3;0;Barra do Piraퟻ-224,715;265;
330030;9;1;1;0;Barra do Piraퟻ-224,715;342;
330030;9;1;2;0;Barra do Piraퟻ-224,715;84;
330030;9;1;3;0;Barra do Piraퟻ-224,715;169;
330030;10;0;1;0;Barra do Piraퟻ-224,715;118;
330030;10;0;2;0;Barra do Piraퟻ-224,715;22;
330030;10;0;3;0;Barra do Piraퟻ-224,715;47;
330030;10;1;1;0;Barra do Piraퟻ-224,715;44;
330030;10;1;2;0;Barra do Piraퟻ-224,715;4;
330030;10;1;3;0;Barra do Piraퟻ-224,715;12;
330040;1;0;1;0;Barra Mansa;0,729;5699
330040;1;0;2;0;Barra Mansa;0,729;1037
330040;1;0;3;0;Barra Mansa;0,729;4285
330040;1;1;1;0;Barra Mansa;0,729;5914
330040;1;1;2;0;Barra Mansa;0,729;1104
330040;1;1;3;0;Barra Mansa;0,729;4625
330040;2;0;1;0;Barra Mansa;0,729;6782
330040;2;0;2;0;Barra Mansa;0,729;1606
330040;2;0;3;0;Barra Mansa;0,729;5825
330040;2;1;1;5;Barra Mansa;0,729;6752
330040;2;1;2;15;Barra Mansa;0,729;1783
330040;2;1;3;0;Barra Mansa;0,729;6070
330040;3;0;1;0;Barra Mansa;0,729;7691
330040;3;0;2;1;Barra Mansa;0,729;1919
330040;3;0;3;0;Barra Mansa;0,729;5626
330040;3;1;1;13;Barra Mansa;0,729;7162
330040;3;1;2;36;Barra Mansa;0,729;1944
330040;3;1;3;0;Barra Mansa;0,729;5392
330040;4;0;1;0;Barra Mansa;0,729;7096
330040;4;0;2;2;Barra Mansa;0,729;1846
330040;4;0;3;0;Barra Mansa;0,729;5092
330040;4;1;1;12;Barra Mansa;0,729;6374
330040;4;1;2;17;Barra Mansa;0,729;1882
330040;4;1;3;0;Barra Mansa;0,729;4804
330040;5;0;1;1;Barra Mansa;0,729;7286
330040;5;0;2;1;Barra Mansa;0,729;1851
330040;5;0;3;0;Barra Mansa;0,729;4762
330040;5;1;1;5;Barra Mansa;0,729;6424
330040;5;1;2;12;Barra Mansa;0,729;1814
330040;5;1;3;0;Barra Mansa;0,729;4341
330040;6;0;1;0;Barra Mansa;0,729;6177
330040;6;0;2;0;Barra Mansa;0,729;1436
330040;6;0;3;0;Barra Mansa;0,729;3740
330040;6;1;1;1;Barra Mansa;0,729;5314
330040;6;1;2;6;Barra Mansa;0,729;1319
330040;6;1;3;0;Barra Mansa;0,729;3297
330040;7;0;1;0;Barra Mansa;0,729;3820
330040;7;0;2;0;Barra Mansa;0,729;796
330040;7;0;3;0;Barra Mansa;0,729;2084
330040;7;1;1;2;Barra Mansa;0,729;3040
330040;7;1;2;1;Barra Mansa;0,729;771
330040;7;1;3;0;Barra Mansa;0,729;1827
330040;8;0;1;0;Barra Mansa;0,729;2242
330040;8;0;2;0;Barra Mansa;0,729;493
330040;8;0;3;0;Barra Mansa;0,729;1060
330040;8;1;1;0;Barra Mansa;0,729;1659
330040;8;1;2;1;Barra Mansa;0,729;360
330040;8;1;3;0;Barra Mansa;0,729;858
330040;9;0;1;0;Barra Mansa;0,729;944
330040;9;0;2;0;Barra Mansa;0,729;166
330040;9;0;3;0;Barra Mansa;0,729;402
330040;9;1;1;0;Barra Mansa;0,729;529
330040;9;1;2;0;Barra Mansa;0,729;95
330040;9;1;3;0;Barra Mansa;0,729;221
330040;10;0;1;0;Barra Mansa;0,729;163
330040;10;0;2;0;Barra Mansa;0,729;32
330040;10;0;3;0;Barra Mansa;0,729;53
330040;10;1;1;0;Barra Mansa;0,729;86
330040;10;1;2;0;Barra Mansa;0,729;7
330040;10;1;3;0;Barra Mansa;0,729;23
330045;1;0;1;0;Belford Roxo;0,684;11754
330045;1;0;2;0;Belford Roxo;0,684;3710
330045;1;0;3;0;Belford Roxo;0,684;19377
330045;1;1;1;0;Belford Roxo;0,684;11696
330045;1;1;2;0;Belford Roxo;0,684;4031
330045;1;1;3;0;Belford Roxo;0,684;20064
330045;2;0;1;3;Belford Roxo;0,684;13193
330045;2;0;2;10;Belford Roxo;0,684;6058
330045;2;0;3;0;Belford Roxo;0,684;24800
330045;2;1;1;22;Belford Roxo;0,684;12952
330045;2;1;2;128;Belford Roxo;0,684;6638
330045;2;1;3;0;Belford Roxo;0,684;25550
330045;3;0;1;3;Belford Roxo;0,684;12915
330045;3;0;2;5;Belford Roxo;0,684;6181
330045;3;0;3;0;Belford Roxo;0,684;20881
330045;3;1;1;43;Belford Roxo;0,684;12024
