LAW_CAT_CD;TYPE;BORO_NM;Day;Longitude;Latitude
FELONY;VANDALISM;MANHATTAN;28;-73,94617554;40,78884506
FELONY;VANDALISM;MANHATTAN;29;-73,95435437;40,78984493
FELONY;VANDALISM;BRONX;2;-73,81777977;40,81417647
FELONY;VANDALISM;BROOKLYN;2;-73,98786098;40,68651065
FELONY;VANDALISM;BRONX;2;-73,90480673;40,84816193
FELONY;VANDALISM;BRONX;2;-73,91317803;40,83973953
FELONY;VANDALISM;BROOKLYN;1;-73,87046562;40,68103118
FELONY;VANDALISM;BRONX;3;-73,91556064;40,87884781
FELONY;VANDALISM;QUEENS;3;-73,80403119;40,72299263
FELONY;VANDALISM;BROOKLYN;22;-73,89187605;40,66238605
FELONY;VANDALISM;QUEENS;23;-73,88224906;40,75403258
FELONY;VANDALISM;MANHATTAN;24;-73,9435521;40,82061401
FELONY;VANDALISM;QUEENS;25;-73,87455277;40,75078016
FELONY;VANDALISM;STATEN ISLAND;28;-74,08736637;40,59435208
FELONY;VANDALISM;QUEENS;29;-73,91805617;40,71128934
FELONY;RAPE;BRONX;2;-73,91004603;40,83338861
FELONY;RAPE;BROOKLYN;2;-74,00610501;40,63709686
FELONY;RAPE;BROOKLYN;2;-73,942622;40,68414472
FELONY;RAPE;BROOKLYN;2;-73,97325011;40,57982924
FELONY;RAPE;BROOKLYN;1;-73,976085;40,66552226
FELONY;RAPE;BRONX;3;-73,92551522;40,83750024
FELONY;RAPE;MANHATTAN;3;-73,98500656;40,71272559
FELONY;RAPE;MANHATTAN;22;-73,98936387;40,71345618
FELONY;RAPE;BRONX;23;-73,89048954;40,82413024
FELONY;RAPE;BRONX;24;-73,88503513;40,84627203
FELONY;RAPE;BROOKLYN;25;-74,02406126;40,63330121
FELONY;RAPE;QUEENS;28;-73,82853628;40,75604018
FELONY;RAPE;MANHATTAN;29;-73,98610723;40,76229871
FELONY;RAPE;BRONX;6;-73,8104379;40,81451596
FELONY;RAPE;BROOKLYN;3;-73,92377502;40,67199089
FELONY;RAPE;BROOKLYN;2;-73,96179127;40,71225636
FELONY;RAPE;BRONX;3;-73,86261208;40,87922784
FELONY;RAPE;MANHATTAN;4;-73,95106272;40,77255449
FELONY;RAPE;MANHATTAN;2;-73,95219917;40,81394276
FELONY;RAPE;MANHATTAN;10;-73,98018137;40,75734632
FELONY;RAPE;BROOKLYN;12;-73,99255069;40,69843159
FELONY;RAPE;BROOKLYN;13;-74,01074172;40,67920146
FELONY;RAPE;BROOKLYN;14;-74,00523981;40,63103641
FELONY;VANDALISM;BROOKLYN;15;-73,95120841;40,59833019
FELONY;VANDALISM;MANHATTAN;13;-73,99487877;40,7197201
FELONY;VANDALISM;QUEENS;14;-73,73883459;40,69764421
FELONY;VANDALISM;QUEENS;15;-73,75219324;40,74401096
FELONY;VANDALISM;MANHATTAN;12;-73,99853343;40,7087741
FELONY;VANDALISM;QUEENS;11;-73,84108127;40,66442411
FELONY;VANDALISM;MANHATTAN;1;-73,95411498;40,77039838
FELONY;VANDALISM;BROOKLYN;7;-73,92561609;40,68909753
FELONY;VANDALISM;BRONX;8;-73,88906157;40,86793717
FELONY;VANDALISM;QUEENS;9;-73,82059579;40,67145906
FELONY;VANDALISM;BROOKLYN;23;-73,91247189;40,68972507
FELONY;VANDALISM;MANHATTAN;29;-73,99981382;40,7343882
FELONY;ROBBERY;BROOKLYN;22;-73,99066602;40,63643241
FELONY;ROBBERY;MANHATTAN;21;-73,98423469;40,74299741
FELONY;ROBBERY;BROOKLYN;17;-73,95640694;40,63886739
FELONY;ROBBERY;BROOKLYN;12;-73,94522919;40,7144592
FELONY;ROBBERY;BROOKLYN;17;-74,0288527;40,63248216
FELONY;ROBBERY;BROOKLYN;17;-73,95488819;40,65756702
FELONY;ROBBERY;BRONX;17;-73,87923127;40,87368018
FELONY;ROBBERY;BROOKLYN;12;-73,88466042;40,66214299
FELONY;ROBBERY;QUEENS;13;-73,89651655;40,7473189
FELONY;ROBBERY;BROOKLYN;12;-73,89940835;40,6438903
FELONY;ROBBERY;BROOKLYN;29;-73,95012759;40,6328016
